CNES - Recursos Físicos - Hospitalar - Leitos Complementares - Brasil
Quantidade existenteQuantidade SUSQuantidade Não SUS por Município
Leitos complementares: UTI adulto II COVID-19, UTI pediátrica II COVID-19
Período:Jul/2020
"Município";"Quantidade_existente";"Quantidade_SUS";"Quantidade_Não_SUS"
"292870 Santo Antônio de Jesus";10;5;5
"292990 Seabra";5;-;5
"293050 Serrinha";10;-;10
"293135 Teixeira de Freitas";20;5;15
"293330 Vitória da Conquista";80;50;30
"310120 Aiuruoca";5;5;-
"310150 Além Paraíba";5;-;5
"310160 Alfenas";20;10;10
"310170 Almenara";10;-;10
"310340 Araçuaí";6;6;-
"310350 Araguari";20;-;20
"310560 Barbacena";36;31;5
"310620 Belo Horizonte";493;50;443
"310670 Betim";105;60;45
"310710 Boa Esperança";10;-;10
"310740 Bom Despacho";20;-;20
"310860 Brasília de Minas";20;10;10
"311120 Campo Belo";10;-;10
"311330 Carangola";6;6;-
"311340 Caratinga";45;20;25
"311530 Cataguases";5;5;-
"311800 Congonhas";10;-;10
"311830 Conselheiro Lafaiete";27;10;17
"311860 Contagem";73;31;42
"311940 Coronel Fabriciano";20;10;10
"312090 Curvelo";20;20;-
"312160 Diamantina";15;10;5
"312230 Divinópolis";60;10;50
"312510 Extrema";10;10;-
"312610 Formiga";12;12;-
"312770 Governador Valadares";66;66;-
"312800 Guanhães";10;-;10
"312870 Guaxupé";10;-;10
"312980 Ibirité";20;8;12
"313130 Ipatinga";70;22;48
"313170 Itabira";25;-;25
"313240 Itajubá";30;29;1
"313270 Itambacuri";1;-;1
"313310 Itanhandu";5;-;5
"313330 Itaobim";10;-;10
"313380 Itaúna";8;-;8
"313420 Ituiutaba";10;-;10
"313510 Janaúba";5;-;5
"313520 Januária";10;-;10
"313620 João Monlevade";15;-;15
"313630 João Pinheiro";10;-;10
"313670 Juiz de Fora";64;47;17
"313720 Lagoa da Prata";7;7;-
"313760 Lagoa Santa";10;-;10
"313820 Lavras";24;7;17
"313840 Leopoldina";15;10;5
"313940 Manhuaçu";30;10;20
"314310 Monte Carmelo";8;8;-
"314330 Montes Claros";74;60;14
"314390 Muriaé";10;5;5
"314520 Nova Serrana";20;-;20
"314560 Oliveira";6;-;6
"314610 Ouro Preto";13;10;3
"314710 Pará de Minas";20;20;-
"314700 Paracatu";5;-;5
"314790 Passos";29;26;3
"314800 Patos de Minas";10;10;-
"314810 Patrocínio";14;14;-
"315120 Pirapora";5;5;-
"315180 Poços de Caldas";40;28;12
"315210 Ponte Nova";23;16;7
"315220 Porteirinha";5;-;5
"315250 Pouso Alegre";20;18;2
"315460 Ribeirão das Neves";10;-;10
"315700 Salinas";5;-;5
"315780 Santa Luzia";10;-;10
"315960 Santa Rita do Sapucaí";6;6;-
"316070 Santos Dumont";10;-;10
"316210 São Gotardo";10;-;10
"316250 São João del Rei";36;20;16
"316370 São Lourenço";15;12;3
"316470 São Sebastião do Paraíso";11;-;11
"316720 Sete Lagoas";41;11;30
"316800 Taiobeiras";8;8;-
"316860 Teófilo Otoni";17;17;-
"316930 Três Corações";10;10;-
"316940 Três Pontas";5;5;-
"316990 Ubá";22;10;12
"317010 Uberaba";60;20;40
"317020 Uberlândia";50;48;2
"317040 Unaí";10;-;10
"317070 Varginha";16;8;8
"317130 Viçosa";17;10;7
"320060 Aracruz";20;20;-
"320120 Cachoeiro de Itapemirim";33;13;20
"320130 Cariacica";9;9;-
"320150 Colatina";70;39;31
"320230 Guaçuí";8;8;-
"320280 Itapemirim";20;20;-
"320320 Linhares";28;28;-
"320460 Santa Teresa";10;10;-
"320480 São José do Calçado";9;-;9
"320490 São Mateus";40;40;-
"320500 Serra";244;244;-
"320520 Vila Velha";105;95;10
"320530 Vitória";39;15;24
"330010 Angra dos Reis";40;-;40
"330020 Araruama";6;6;-
"330040 Barra Mansa";4;-;4
"330045 Belford Roxo";46;-;46
"330060 Bom Jesus do Itabapoana";22;22;-
"330100 Campos dos Goytacazes";12;12;-
"330093 Carapebus";5;5;-
"330140 Conceição de Macabu";11;-;11
"330150 Cordeiro";10;-;10
